ID,Invitado,Job Title,Podcast,quote,Topics,Grabado desde País,Grabado desde Ciudad,Slider,Date created,AppelPodcast,spotify
11,Manuel Redondo,Director Smart City Expo Latam,SmartCity Expo Latam: la experiencia latinoamericana,,"Smart Cities, Innovación, Gov-Tech",España,Bilbao,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000395387019,https://open.spotify.com/episode/3CGGU8qPX3KB1g0iZrXAzO?si=eITVmriLSgCxWT0031c-8A
12,Leonardo Brawl,TransLAB.URB - Co-Founder,Hacker activismo urbano,,"Innovación, Digitalización, Gobernanza",Brasil,Porto Alegre,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000423195098,https://open.spotify.com/episode/0i2DkzeKNj6S9N59M5ldYd?si=pV091p7mQK68AJhvUFhY2A
13,Mauricio Leclerc,"Transportation Planning Section Manager - Portland, Oregon",Portland: una atípica ciudad estadounidense,,"Movilidad, Urbanismo, Innovación",EEUU,Portland,FALSE,2022-07-03,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000403022231,https://open.spotify.com/episode/5x0oBfs58K3rphi0ZVHam5?si=5DBx0eUoRiK_G-8HGNiEww
14,CiudadHub,Podcast de las Ciudades,"Vehículos eléctricos: pasado, presente y futuro",,"Movilidad, Electrificación, Sostenibilidad",Canada,Ottawa,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000368131447,https://open.spotify.com/episode/7kgPcvht4UpTfjdbDQ5Tfd?si=b06J7RIeQFSMGjaFIuB43w
15,Julián Bautista Rojas,Planificador Principal de Transporte en MTA Bus Company - Nueva York,"NYC, el bus también existe!",,"Movilidad, Urbanismo, Internacionalización",España,Zaragoza,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000420668860,https://open.spotify.com/episode/3wxJHepvp7BvmpgKsVkkXM?si=iWfRYLONSKiSGiHarYm4hg
16,Daniel Treviño,Project Manager de Social Bicycle,Social Bicycle: movilidad medida en byts,,"Movilidad, Bicicleta, Datos",EEUU,New York,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000371747782,https://open.spotify.com/episode/4sSizDinbkUane7Hruy2SY?si=xUzuy2CvTlOt4gS46ld7fg
17,Mercedes Bidart,"Fellow NYC Mayor's Office, MIT Master in City Planning, QUIPU co-founder","Economía popular, ciudades y tecnología",,"Equidad, Digitalización, Innovación",Argentina,Buenos Aires,FALSE,2021-06-28,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000448958913,https://open.spotify.com/episode/0aGXhj45fTDM6vvlGdWV1r?si=4reqQ5IhT0yrqCe8owGwRQ
18,Carolina Pozo,Cofundadora Wonder Lab,Wonder Innovation Lab: las ciudades como experimento,,"Innovación, Urbanismo, Espacio Público",EEUU,New York,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000394443713,https://open.spotify.com/episode/5N0pcHdk8tFfBw7H4zzeUJ?si=BIsCy5g6QTKXTQTmdIGG4Q
19,Cristina Zubillaga,Directora de Desarrollo Sostenible e Inteligente de la Intendencia de Montevideo,Montevideo: laboratorio urbano,,"Innovación, Gov-Tech, Sostenibilidad",Uruguay,Montevideo,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000376736957,https://open.spotify.com/episode/3ahQufWmaJKAXNZgudvwda?si=icZ8lrQsTxmi2Mf1Vg1PhA
20,Carlos Eduardo Correa,Ex Alcalde de Montería y Alto Consejero para las Regiones de la Presidencia de Colombia,CiudadesR: cómo devolver el río a las ciudades,"Los ríos poco a poco fueron perdiendo importancia y se convirtieron en las cloacas de las ciudades: industria en sus bordes, aguas residuales, residuos de todo tipo. Pero hoy comenzamos a ver cómo los ríos pueden ser instrumentos muy poderosos dentro de la ciudad. Son conectores de casi todas las variables: espacio público, mezcla de usos, innovación, competitividad.","Sostenibilidad, Espacio Público, Urbanismo",Colombia,Montería,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000385312004,https://open.spotify.com/episode/3g36zBXMxD61yCE6wl1o0j?si=dC7mUsIQRNyGGdTYm8P7Ng
21,Aida Esteban Millet,"Senior Director, Urban Mobility and Smart Cities for LAC at Visa",Nuevos sistemas de pago para la movilidad urbana,"Cuando hablamos de movilidad urbana, nosotros somos una pieza: somos el pago dentro de este proceso. No podemos ir por separado. Existe una creciente demanda de gobiernos y ciudadanos que exigen ciudades más sostenibles, más conectadas, más seguras, más inclusivas. Y todos los actores —gobiernos, proveedores tecnológicos, universidades, startups, fintechs— tenemos que coexistir y trabajar conjuntamente.","Smart Cities, Movilidad, Digitalización",EEUU,Miami,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000477227309,https://open.spotify.com/episode/1EOQ9OagqobqA3vT4yIv63?si=Y5CcM9V-Qo-CTt6VpYA86Q
22,Pedro Julio Uribe Bermudez,Director Regional de Microsoft para Latinoamérica y el Caribe - Latin America & The Caribbean at Microsoft,Digitalización de las ciudades,,"Smart Cities, Gov-Tech, Digitalización",EEUU,Miami,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000430529167,https://open.spotify.com/episode/6yvb4gbZnkGG6nIiliAF9K?si=aQBbU--GSGG3XT4gHKcW-A
23,Ellis Juan,Ex-Director Iniciativa Ciudades Emergentes y Sostenibles (BID),¿Cómo enfrentar la rápida urbanización y el cambio climático?,,"Sostenibilidad, Urbanismo, Resiliencia",EEUU,Miami,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000398690656,https://open.spotify.com/episode/6wUIjS1kacDiij6d6sXrHK?si=AVu1JN_vRSSAIqBU5iVE3A
24,Alain Jorda,Experto en Desarrollo Local y Territorial,"Liderazgo colaborativo, la clave del desarrollo local","Las autoridades locales tienen el problema de que son las que están frente al ciudadano. El gobierno nacional está muy lejos. Mi receta es conseguir que la política, la empresa, la academia y las organizaciones sociales sean capaces de ir juntas a la autoridad superior con un mismo proyecto. Difícilmente esa autoridad se va a negar.","Gobernanza, Innovación, Desarrollo",España,Manresa,TRUE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000440101551,https://open.spotify.com/episode/3HAwZnmuNX6QNViUJOaEC8?si=0AX-E7PUSlSwQNyH0VbwYg
25,Pau Solanilla Franco,"Consultor Internacional, autor de La República de la Reputación","Reputación, el storydoing-telling de las ciudades",,"Internacionalización, Gobernanza, Espacio Público",España,Barcelona,FALSE,2020-04-04,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000471285168,https://open.spotify.com/episode/3KKZ2VoTRmza7uVEjXov7P?si=3O73Ikn9R3mYcF3XJ1y1xw
26,Carlos Corral,Ex subdirector de planificación de movilidad sostenible del Ayuntamiento de Madrid,De las autopistas urbanas a las calles peatonales,"Hay una foto del antes y después de la Gran Vía que dio la vuelta al mundo en las navidades de 2016. Nadie se daba cuenta de que aquello era un mar de vehículos, incluso los domingos. El urbanismo táctico no solo convenció de que el proyecto era importante para la ciudad, también demostró que era posible convencer a la ciudadanía de lo que en cuatro legislaturas nadie se había atrevido a hacer.","Movilidad, Urbanismo, Sostenibilidad",España,Madrid,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000446488585,https://open.spotify.com/episode/2LzwWYO7grdTJHgICOtw0z?si=LnAlYomMRn-vEoA9k5mccA
27,Ignacio Alcalde,Experto Smart Cities & Territorios Inteligentes,De las ciudades a los territorios: el modelo diamante,,"Smart Cities, Gobernanza, Internacionalización",España,Madrid,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000377671173,https://open.spotify.com/episode/42YdiNJb7QKxZkiqUNZYFu?si=g6jQxmq0Q_iga6Ujf-VCCw
28,Claudia Peñaranda,Principal City Planner at Transport for London.,Londres: el transporte urbano como actividad vital,,"Movilidad, Sostenibilidad, Digitalización",Reino Unido,Londres,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000406474711,https://open.spotify.com/episode/6cKohK8PmEcJpDw3vvpeWP?si=HgZSYjKaQoKv8xP3TD7Ivg
29,Jorge Pérez Jaramillo,Ex-Director de Planeación de Medellín (2012-15) / Lee Kuan Yew World City Prize,Medellín ante los desafíos de su éxito,,"Urbanismo, Gobernanza, Desarrollo",Reino Unido,Oxford,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000384618088,https://open.spotify.com/episode/2yhYNSH1ieoxhGtlwQtTw4?si=JVR6JMLLTqS8JkQ-0klzzw
30,Patricia Alata,"Directora ""Lima Cómo Vamos?""",Lima cómo vamos: los ciudadanos evalúan su ciudad,,"Gobernanza, Internacionalización, Datos",Perú,Lima,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000394443714,https://open.spotify.com/episode/6xbZ22ATYnb0EonTqsFm1J?si=ie8pc9g9SG2TMkSIOxLHLg
31,Luis Romhan Diez,Director general Asociación Nacional de Parques de México,Parques urbanos: mucho más que el pulmón de las ciudades,,"Espacio Público, Urbanismo, Sostenibilidad",México,Guadalajara,FALSE,2021-02-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000392500408,https://open.spotify.com/episode/26eHPCX9WqvXWnOC8U45Sc?si=-0GY4tRZTYGYS5rmquKiQQ
32,Guillermo Bernal,"Coordinador de Placemaking Latinoamérica, Fellow de Project for Public Spaces",Placemaking: transformando espacios públicos en lugares,,"Espacio Público, Urbanismo, Placemaking",México,Barcelona,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000421743124,https://open.spotify.com/episode/2V8mOezyRCmssIuBbm1PJa?si=rK1BT3yZQ6qb424qZFt6jg
33,Carolina Huffman,Fundadora Urbanismo Vivo,"Caminabilidad, la magia de redescubrir la ciudad",,"Urbanismo, Movilidad, Espacio Público",Argentina,Córdoba,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000422759182,https://open.spotify.com/episode/3KdrD4SjPAYMuajZTnl5DP?si=hfQIRsYlTP2KQEiIYyvv8w
34,Zulma Bolívar,Presidente en Instituto Metropolitano de Urbanismo Taller Caracas,"Caracas, Venezuela: cómo planificar en medio de la crisis",,"Urbanismo, Resiliencia, Gobernanza",Venezuela,Caracas,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000380054059,https://open.spotify.com/episode/3WLObjkec4EcvOq2A1JrgS?si=EeNM16p6QUG-cv513d3r_g
35,Franco Rinaldi,Especialista en aviación. Auditor.,Aeropuertos: mini-ciudades,,"Movilidad, Urbanismo, Internacionalización",Argentina,Buenos Aires,FALSE,2022-04-20,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000375136075,https://open.spotify.com/episode/0ATjb9vWRwNoTCMCTVj10o?si=dSXpJ7iVSWidmGLqH1PcyQ
36,Omar Quiroga,"Director Centro de Ciudades Inteligentes, FCE Universidad de Buenos Aires","Ciudades y Universidad, una alianza inteligente",,"Smart Cities, Innovación, Gobernanza",España,Barcelona,FALSE,2021-05-06,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000424604373,https://open.spotify.com/episode/1I7W5ngODg3aUa4vzxNthr?si=fOVEAWC6TWquRQpPmtVEyg
37,Daniel Abadie,"Ex Subsecretario de Gobierno Digital, Argentina. Consultor Public Digital",Gobierno digital para no hacer esperar al ciudadano,,"Gobernanza, Digitalización, Innovación",Argentina,Buenos Aires,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000478848610,https://open.spotify.com/episode/3cILK06IJXsyPRjICOTJ0B?si=NgOO7THBRnm4Hn-aJ8pGsQ
38,Fabio Quetglas,"Abogado, Urbanista, Consultor en desarrollo territorial",Megalópolis y tribus: dos caras de las ciudades,,"Gobernanza, Desarrollo, Urbanismo",Argentina,Buenos Aires,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000384917427,https://open.spotify.com/episode/2bjblHazONIz4iLrPLaMIp?si=-A6ODE7bTeemIKbfMxAhOg
39,Gabriel Lanfranchi,"Director Posgrado Urbanismo Metropolitano, UBA",Urbanismo Metropolitano,,"Urbanismo, Metrópolis, Gobernanza",Argentina,Buenos Aires,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000517839087,https://open.spotify.com/episode/6DUhk0MrBQEQsZ1QNRLYtJ?si=5jHI9Y6KRXWctXJw6unaiA
40,Iván Acevedo,Director del Taller Profesional de Arquitectura y Urbanismo del Gobierno de Bucaramanga.,"El espacio público, la piel de la democracia",,"Urbanismo, Gobernanza, Espacio Público",España,Barcelona,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000420078713,https://open.spotify.com/episode/071cpQ37kTdMfGmFBVOhvm?si=GvKgapgjR7Sd8Duh-eTqsA
41,Victoria Alsina,Fellow en el Mossavar-Rahmani Center for Business and Government de la Harvard Kennedy School y Profesora de la Universitat Pompeu Fabra,GovLab: ¿cómo gobernar a través de la tecnología?,,"Smart Cities, Innovación, Gov-Tech",España,Barcelona,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000402119482,https://open.spotify.com/episode/3PCa5HNkBHcGKYHqpzYyoM?si=3pIPyhfYTkOZ8G7hAcC1yA
42,Darío Hidalgo,Director Ejecutivo de la Fundación Despacio,En movilidad la solución está en compartir,,"Movilidad, Sostenibilidad, Urbanismo",Colombia,Bogotá,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000433720209,https://open.spotify.com/episode/4VobG5HwXT1PuXdpyphWPo?si=OUmaj-43R76MjNQm0L_O_g
43,Carlos Hernández Correa,Profesor Urbanismo - Universidad Pontificia Javeriana,Gentrificación en las ciudades,,"Urbanismo, Gentrificación, Equidad",Colombia,Bogotá,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000382469617,https://open.spotify.com/episode/6tNpPIlxQoTBxJ9LGVVhVA?si=V6WKAAMuSnGZo4oBC1hz9A
44,Johnny López,Coordinador de Bogotá del programa Bloomberg para la Seguridad Vial,"Seguridad vial, un tema de salud pública",,"Salud, Seguridad Vial, Movilidad",Colombia,Bogotá,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000368683874,https://open.spotify.com/episode/6Uclk36poNNNoMp4iwc2Uq?si=1HpAY4g3RmqNeJyLBEe0rg
45,David Uniman,Gerente de la Bicicleta de la Alcaldía de Bogotá (2015-19),"Bogotá, capital de la bicicleta",,"Movilidad, Bicicleta, Urbanismo",Colombia,Bogotá,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000429341002,https://open.spotify.com/episode/5RuMC51tuOEx8QG5stCP29?si=KK-DNvP9SGCe_6eCk7tW5Q
46,Manu Fernández,Program Coordinator Smart City Expo international events,Ciudades: wikipedias urbanas,,"Smart Cities, Innovación, Gobernanza",España,Barcelona,FALSE,2020-08-27,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000380554735,https://open.spotify.com/episode/7prTMpO5Corlc5nsrzLYst?si=ddU2OuOxSK2rGuowhwVTVA
47,Víctor Pineda,"President of World ENABLED, Adjunct Professor, Univesity of California at Berkeley",Ciudades inclusivas ¿Cómo gestionar la diversidad?,,"Equidad, Urbanismo, Gobernanza",EEUU,Berkeley,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000414798619,https://open.spotify.com/episode/6TGFZTuBCkQs0soRXYp4NJ?si=gIdZVGgeQ0mx72foaPZpRQ
